,leaderboardId,songId,cover,fullCover,name,subName,author,mapper,bpm,duration,stars,passRating,accRating,techRating,modifiersRating,difficultyName,type,starsMod,passRatingMod,accRatingMod,techRatingMod
0,57c31,57c,https://eu.cdn.beatsaver.com/f15082586d31d238cfc33730c7d4a9bce4594d35.jpg,https://cdn.assets.beatleader.xyz/songcover-57c-cover.jpg,Zzz,by Sasaki Sayaka,Todokete,todokete,154.0,248,3.5652616,0.9921129,5.772469,3.2476983,"{'id': 8496, 'ssPredictedAcc': 0.988283, 'ssPassRating': 0.7630728, 'ssAccRating': 5.484898, 'ssTechRating': 2.4398742, 'ssStars': 3.198531, 'fsPredictedAcc': 0.986501, 'fsPassRating': 1.3204805, 'fsAccRating': 6.1387043, 'fsTechRating': 3.8652813, 'fsStars': 3.997256, 'sfPredictedAcc': 0.9847628, 'sfPassRating': 1.864479, 'sfAccRating': 6.698238, 'sfTechRating': 4.992303, 'sfStars': 4.706111, 'bfsPredictedAcc': 0.9866651, 'bfsPassRating': 1.290718, 'bfsAccRating': 5.95289, 'bfsTechRating': 5.3290563, 'bfsStars': 4.044236, 'bsfPredictedAcc': 0.9851816, 'bsfPassRating': 1.8178446, 'bsfAccRating': 6.5531187, 'bsfTechRating': 6.921545, 'bsfStars': 4.843411}",Normal,Accuracy,3.5652616,0.9921129,5.772469,3.2476983
1,57c51,57c,https://eu.cdn.beatsaver.com/f15082586d31d238cfc33730c7d4a9bce4594d35.jpg,https://cdn.assets.beatleader.xyz/songcover-57c-cover.jpg,Zzz,by Sasaki Sayaka,Todokete,todokete,154.0,248,5.4567547,2.4332018,7.2599163,6.2210727,"{'id': 8497, 'ssPredictedAcc': 0.9849364, 'ssPassRating': 1.9236927, 'ssAccRating': 6.746245, 'ssTechRating': 5.1351805, 'ssStars': 4.777493, 'fsPredictedAcc': 0.98179585, 'fsPassRating': 3.1321661, 'fsAccRating': 7.8945007, 'fsTechRating': 7.0198755, 'fsStars': 6.2625318, 'sfPredictedAcc': 0.97944844, 'sfPassRating': 4.2338724, 'sfAccRating': 8.6766615, 'sfTechRating': 8.501066, 'sfStars': 7.4328103, 'bfsPredictedAcc': 0.9818564, 'bfsPassRating': 2.9739106, 'bfsAccRating': 7.7979274, 'bfsTechRating': 8.019983, 'bfsStars': 6.2832575, 'bsfPredictedAcc': 0.9796121, 'bsfPassRating': 3.9866395, 'bsfAccRating': 8.621816, 'bsfTechRating': 9.366426, 'bsfStars': 7.4422326}",Hard,Tech,5.4567547,2.4332018,7.2599163,6.2210727
2,57c71,57c,https://eu.cdn.beatsaver.com/f15082586d31d238cfc33730c7d4a9bce4594d35.jpg,https://cdn.assets.beatleader.xyz/songcover-57c-cover.jpg,Zzz,by Sasaki Sayaka,Todokete,todokete,154.0,248,6.634682,3.1840737,8.040394,8.696276,"{'id': 8498, 'ssPredictedAcc': 0.98291683, 'ssPassRating': 2.5347703, 'ssAccRating': 7.509802, 'ssTechRating': 7.4560156, 'ssStars': 5.851048, 'fsPredictedAcc': 0.97954184, 'fsPassRating': 4.066697, 'fsAccRating': 8.691937, 'fsTechRating': 9.686453, 'fsStars': 7.571719, 'sfPredictedAcc': 0.9771038, 'sfPassRating': 5.443168, 'sfAccRating': 9.479533, 'sfTechRating': 11.779051, 'sfStars': 8.980084, 'bfsPredictedAcc': 0.9795055, 'bfsPassRating': 4.067617, 'bfsAccRating': 8.657474, 'bfsTechRating': 9.922707, 'bfsStars': 7.578658, 'bsfPredictedAcc': 0.9770326, 'bsfPassRating': 5.394487, 'bsfAccRating': 9.501434, 'bsfTechRating': 11.142241, 'bsfStars': 8.884881}",Expert,Tech,6.634682,3.1840737,8.040394,8.696276
3,1fd41x11,1fd41,https://eu.cdn.beatsaver.com/1fb8d26ef00049d75f8f15b315c8146b7978ef52.jpg,https://cdn.assets.beatleader.xyz/songcover-1fd41x-cover.jpg,Zombified,,Falling In Reverse,Bytrius,182.0,221,2.996581,1.3316494,5.175914,1.1589105,"{'id': 7615, 'ssPredictedAcc': 0.9898724, 'ssPassRating': 1.0207283, 'ssAccRating': 4.9090657, 'ssTechRating': 0.84027976, 'ssStars': 2.6982386, 'fsPredictedAcc': 0.9878822, 'fsPassRating': 1.7766995, 'fsAccRating': 5.652605, 'fsTechRating': 1.3007951, 'fsStars': 3.4556627, 'sfPredictedAcc': 0.98590255, 'sfPassRating': 2.5088723, 'sfAccRating': 6.2534246, 'sfTechRating': 1.6396171, 'sfStars': 4.1145363, 'bfsPredictedAcc': 0.98823804, 'bfsPassRating': 1.773338, 'bfsAccRating': 5.367134, 'bfsTechRating': 1.296331, 'bfsStars': 3.2582514, 'bsfPredictedAcc': 0.98687667, 'bsfPassRating': 2.4829097, 'bsfAccRating': 5.874576, 'bsfTechRating': 1.6337091, 'bsfStars': 3.8365626}",Easy,Accuracy,2.996581,1.3316494,5.175914,1.1589105
4,1fd41x31,1fd41,https://eu.cdn.beatsaver.com/1fb8d26ef00049d75f8f15b315c8146b7978ef52.jpg,https://cdn.assets.beatleader.xyz/songcover-1fd41x-cover.jpg,Zombified,,Falling In Reverse,Bytrius,182.0,221,4.16884,2.3458195,6.326489,1.9845449,"{'id': 7616, 'ssPredictedAcc': 0.9872046, 'ssPassRating': 1.8265696, 'ssAccRating': 5.886068, 'ssTechRating': 1.538918, 'ssStars': 3.6610744, 'fsPredictedAcc': 0.9842382, 'fsPassRating': 3.069872, 'fsAccRating': 6.991638, 'fsTechRating': 2.158655, 'fsStars': 4.8746486, 'sfPredictedAcc': 0.9813962, 'sfPassRating': 4.2247806, 'sfAccRating': 7.9664154, 'sfTechRating': 2.5336459, 'sfStars': 5.9937787, 'bfsPredictedAcc': 0.98463047, 'bfsPassRating': 3.0262518, 'bfsAccRating': 6.7454367, 'bfsTechRating': 2.1387584, 'bfsStars': 4.676882, 'bsfPredictedAcc': 0.9825435, 'bsfPassRating': 4.13219, 'bsfAccRating': 7.5592446, 'bsfTechRating': 2.5145726, 'bsfStars': 5.64759}",Normal,Accuracy,4.16884,2.3458195,6.326489,1.9845449
5,1fd41x51,1fd41,https://eu.cdn.beatsaver.com/1fb8d26ef00049d75f8f15b315c8146b7978ef52.jpg,https://cdn.assets.beatleader.xyz/songcover-1fd41x-cover.jpg,Zombified,,Falling In Reverse,Bytrius,182.0,221,5.3296766,3.3734953,7.3589873,2.8522558,"{'id': 7617, 'ssPredictedAcc': 0.98471195, 'ssPassRating': 2.6854837, 'ssAccRating': 6.8231974, 'ssTechRating': 2.3412929, 'ssStars': 4.6699176, 'fsPredictedAcc': 0.98110825, 'fsPassRating': 4.307479, 'fsAccRating': 8.142026, 'fsTechRating': 3.0118906, 'fsStars': 6.223647, 'sfPredictedAcc': 0.9775932, 'sfPassRating': 5.762131, 'sfAccRating': 9.331774, 'sfTechRating': 3.3606544, 'sfStars': 7.6729784, 'bfsPredictedAcc': 0.98157555, 'bfsPassRating': 4.24897, 'bfsAccRating': 7.899897, 'bfsTechRating': 2.9906487, 'bfsStars': 6.012986, 'bsfPredictedAcc': 0.9790064, 'bsfPassRating': 5.641581, 'bsfAccRating': 8.828364, 'bsfTechRating': 3.3427804, 'bsfStars': 7.21806}",Hard,Midspeed,5.3296766,3.3734953,7.3589873,2.8522558
6,1fd41x71,1fd41,https://eu.cdn.beatsaver.com/1fb8d26ef00049d75f8f15b315c8146b7978ef52.jpg,https://cdn.assets.beatleader.xyz/songcover-1fd41x-cover.jpg,Zombified,,Falling In Reverse,Bytrius,182.0,221,7.0333767,5.187489,8.701826,3.7205944,"{'id': 7618, 'ssPredictedAcc': 0.9813246, 'ssPassRating': 4.2041693, 'ssAccRating': 8.062445, 'ssTechRating': 3.231653, 'ssStars': 6.162391, 'fsPredictedAcc': 0.9766773, 'fsPassRating': 6.489248, 'fsAccRating': 9.621927, 'fsTechRating': 3.7882426, 'fsStars': 8.20859, 'sfPredictedAcc': 0.971753, 'sfPassRating': 8.86753, 'sfAccRating': 11.031418, 'sfTechRating': 4.016724, 'sfStars': 10.270532, 'bfsPredictedAcc': 0.9772738, 'bfsPassRating': 6.469884, 'bfsAccRating': 9.427672, 'bfsTechRating': 3.7750301, 'bfsStars': 8.036895, 'bsfPredictedAcc': 0.9737229, 'bsfPassRating': 8.587812, 'bsfAccRating': 10.502893, 'bsfTechRating': 4.103888, 'bsfStars': 9.718363}",Expert,Midspeed,7.0333767,5.187489,8.701826,3.7205944
7,1fd41x91,1fd41,https://eu.cdn.beatsaver.com/1fb8d26ef00049d75f8f15b315c8146b7978ef52.jpg,https://cdn.assets.beatleader.xyz/songcover-1fd41x-cover.jpg,Zombified,,Falling In Reverse,Bytrius,182.0,221,7.972859,6.325127,9.340065,4.1412287,"{'id': 7619, 'ssPredictedAcc': 0.979877, 'ssPassRating': 5.159087, 'ssAccRating': 8.585117, 'ssTechRating': 3.6845913, 'ssStars': 6.924764, 'fsPredictedAcc': 0.9741054, 'fsPassRating': 7.855105, 'fsAccRating': 10.393766, 'fsTechRating': 4.1546836, 'fsStars': 9.377355, 'sfPredictedAcc': 0.96781087, 'sfPassRating': 10.899104, 'sfAccRating': 11.940235, 'sfTechRating': 4.322789, 'sfStars': 11.906534, 'bfsPredictedAcc': 0.97485125, 'bfsPassRating': 7.833447, 'bfsAccRating': 10.187391, 'bfsTechRating': 4.173586, 'bfsStars': 9.193754, 'bsfPredictedAcc': 0.97034854, 'bsfPassRating': 10.3446, 'bsfAccRating': 11.393886, 'bsfTechRating': 4.4695764, 'bsfStars': 11.2163}",ExpertPlus,Midspeed,7.972859,6.325127,9.340065,4.1412287
9,1ea8cxxxxx51,1ea8c,https://eu.cdn.beatsaver.com/5d663d78102b837fa4198673a178b88d10fd1f05.jpg,https://cdn.assets.beatleader.xyz/songcover-1ea8cxxxxx-cover.jpg,Zhuzhzhalka76,,Camellia,"yabje, Irish & fqrb",176.0,277,6.132708,5.8300023,7.4887657,2.899308,"{'id': 7500, 'ssPredictedAcc': 0.9848517, 'ssPassRating': 4.745162, 'ssAccRating': 6.7750716, 'ssTechRating': 2.5208995, 'ssStars': 5.217598, 'fsPredictedAcc': 0.9801246, 'fsPassRating': 7.2579975, 'fsAccRating': 8.507911, 'fsTechRating': 2.886362, 'fsStars': 7.3890815, 'sfPredictedAcc': 0.9752987, 'sfPassRating': 10.000564, 'sfAccRating': 10.067455, 'sfTechRating': 3.0252414, 'sfStars': 9.672729, 'bfsPredictedAcc': 0.9806364, 'bfsPassRating': 7.1083097, 'bfsAccRating': 8.261101, 'bfsTechRating': 2.8989966, 'bfsStars': 7.141186, 'bsfPredictedAcc': 0.9769638, 'bsfPassRating': 9.273292, 'bsfAccRating': 9.522685, 'bsfTechRating': 3.0825162, 'bsfStars': 8.947558}",Hard,Midspeed,6.132708,5.8300023,7.4887657,2.899308
11,1ea8cxxxxx71,1ea8c,https://eu.cdn.beatsaver.com/5d663d78102b837fa4198673a178b88d10fd1f05.jpg,https://cdn.assets.beatleader.xyz/songcover-1ea8cxxxxx-cover.jpg,Zhuzhzhalka76,,Camellia,"yabje, Irish & fqrb",176.0,277,8.867624,8.554466,9.607137,3.7112145,"{'id': 7501, 'ssPredictedAcc': 0.9793831, 'ssPassRating': 7.1077104, 'ssAccRating': 8.743479, 'ssTechRating': 3.3833408, 'ssStars': 7.609866, 'fsPredictedAcc': 0.9726374, 'fsPassRating': 10.440387, 'fsAccRating': 10.814766, 'fsTechRating': 3.6130314, 'fsStars': 10.592104, 'sfPredictedAcc': 0.9655078, 'sfPassRating': 14.771888, 'sfAccRating': 12.343657, 'sfTechRating': 3.6802197, 'sfStars': 13.826173, 'bfsPredictedAcc': 0.9735251, 'bfsPassRating': 10.732112, 'bfsAccRating': 10.560233, 'bfsTechRating': 3.7812312, 'bfsStars': 10.5024, 'bsfPredictedAcc': 0.9685038, 'bsfPassRating': 13.977872, 'bsfAccRating': 11.786811, 'bsfTechRating': 3.9697473, 'bsfStars': 12.991253}",Expert,Midspeed,8.867624,8.554466,9.607137,3.7112145
